   Compiling dytallix-contracts v0.1.0 (/Users/rickglenn/dytallix/smart-contracts)
   Compiling dytallix-node v0.1.0 (/Users/rickglenn/dytallix/blockchain-core)
   Compiling dytallix-lean-node v0.1.0 (/Users/rickglenn/dytallix/dytallix-lean-launch/node)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 18.77s
     Running `target/debug/dytallix-lean-node`
Secrets mode: Plain Keystore (dev) path=/Users/rickglenn/.dytallix/keystore — no passphrase required
Validator key loaded (64 bytes) via secure provider
Node listening on 0.0.0.0:3030
produced block height=32744 tx_total=0 successes=0
produced block height=32745 tx_total=0 successes=0
produced block height=32746 tx_total=0 successes=0
produced block height=32747 tx_total=0 successes=0
produced block height=32748 tx_total=0 successes=0
produced block height=32749 tx_total=0 successes=0
produced block height=32750 tx_total=0 successes=0
produced block height=32751 tx_total=0 successes=0
produced block height=32752 tx_total=0 successes=0
produced block height=32753 tx_total=0 successes=0
produced block height=32754 tx_total=0 successes=0
produced block height=32755 tx_total=0 successes=0
produced block height=32756 tx_total=0 successes=0
produced block height=32757 tx_total=0 successes=0
produced block height=32758 tx_total=0 successes=0
produced block height=32759 tx_total=0 successes=0
produced block height=32760 tx_total=0 successes=0
produced block height=32761 tx_total=0 successes=0
produced block height=32762 tx_total=0 successes=0
produced block height=32763 tx_total=0 successes=0
produced block height=32764 tx_total=0 successes=0
produced block height=32765 tx_total=0 successes=0
produced block height=32766 tx_total=0 successes=0
produced block height=32767 tx_total=0 successes=0
produced block height=32768 tx_total=0 successes=0
produced block height=32769 tx_total=0 successes=0
produced block height=32770 tx_total=0 successes=0
produced block height=32771 tx_total=0 successes=0
produced block height=32772 tx_total=0 successes=0
produced block height=32773 tx_total=0 successes=0
produced block height=32774 tx_total=0 successes=0
produced block height=32775 tx_total=0 successes=0
produced block height=32776 tx_total=0 successes=0
produced block height=32777 tx_total=0 successes=0
produced block height=32778 tx_total=0 successes=0
produced block height=32779 tx_total=0 successes=0
produced block height=32780 tx_total=0 successes=0
produced block height=32781 tx_total=0 successes=0
produced block height=32782 tx_total=0 successes=0
produced block height=32783 tx_total=0 successes=0
