id,file,status,high_findings,top_rank,latency_ms
c0cedc9b-e4b2-4053-927c-7c1c56e9fa61,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/IntegerIssues__469b3370f3.sol,done,1,1.0,0.0
79afed77-77ae-47c9-9a07-7ec829dcab80,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/IntegerIssues__ef9cf22314.sol,done,1,1.0,0.0
5e7cd68d-680b-443e-b363-9a7fc854bd2d,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/IntegerIssues__92de3a0935.sol,done,1,1.0,0.0
cc6eb885-bd8d-4f14-ae0e-3545151ff162,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/IntegerIssues__28f3360097.sol,done,1,1.0,0.0
6394c13f-e2d2-4efc-b4c6-bffacd8d2ca7,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/IntegerIssues__90e82dd5d1.sol,done,1,1.0,0.0
68438f16-f7ff-457e-ba7b-2e90dfb85a81,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__9300bac9e5.sol,done,1,1.0,0.0
e1cf94f3-aa40-4ce9-bf24-dc40be30e600,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__f52cbc1fe3.sol,done,1,1.0,0.0
d4378cb5-d7e3-4aea-9e66-064521050c5f,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__a881750574.sol,done,1,1.0,0.0
666f4895-ac36-4ab4-9d6f-e097a30540de,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__98ed18754c.sol,done,1,1.0,0.0
ca6a9fde-6559-4e87-af8f-2cefa7337c1f,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__cf07a88228.sol,done,1,1.0,0.0
db6dfb40-68a1-4407-aae6-9075c51a16ba,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__d36bc7240c.sol,done,1,1.0,0.0
33d13cc2-d0dc-4612-a55b-2f62316c357f,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__42f8ca27a0.sol,done,1,1.0,0.0
a94d9b06-172f-4f2e-9165-a1a999092b2f,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__3ddefea3e2.sol,done,1,1.0,0.0
333ce232-98cd-49e2-aa09-3b30195a30e3,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/Reentrancy__eb7f00ccf2.sol,done,1,1.0,0.0
3c87abf3-77d6-480b-a6ac-368bc9720309,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__003d1f2a64.sol,done,1,1.0,0.0
140e28e7-af4c-4601-9e6d-8cb24c324c04,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__c5fe728151.sol,done,1,1.0,0.0
b582777a-00eb-45bd-a587-022493972bbe,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__0b105bb0b5.sol,done,1,1.0,0.0
b055d4c3-01fa-4285-8c7f-01fced950c24,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__5c3af2e407.sol,done,1,1.0,0.0
8f66a3e7-ba37-4ba4-b933-8766f67bb2e8,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__5703272321.sol,done,1,1.0,0.0
cd25745a-66be-4a4f-b11a-261b90bf1bff,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__e8193f80fb.sol,done,1,1.0,0.0
93aa8379-a7da-4642-ac11-7a669ca9a5ae,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__d11c6c3dc2.sol,done,1,1.0,0.0
7fb741ff-3217-4862-91d2-af5d8402a475,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__d1ceb49167.sol,done,1,1.0,0.0
79af2100-66b0-4626-a959-01a98e36a541,/Users/rickglenn/dytallix/ModuleTests/CodeShield/artifacts/corpus/vulnerable/DelegatecallAbuse__87ce04a7e8.sol,done,1,1.0,0.0
